cluster,n_train,response_train,n_test,response_test,col_3_mean,col_4_log_mean,col_4_mean,col_17,auc_train,auc_test
1,706,0.42492917847025496,195,0.4,240.25860155382907,3.583753121001892,96.62264150943396,3.993340732519423,0.7383990147783251,0.6512163050624589
2,3527,0.05075134675361497,864,0.04282407407407408,123.86244591209292,4.7475548857634955,432.435436119335,1.0,0.6751733712447354,0.5830255890715383
3,7504,0.13259594882729211,1935,0.1343669250645995,258.7440406822757,4.062941844242085,94.73397605678568,1.2539463926263374,0.8177939937820922,0.789097588978186
4,3366,0.02703505644682115,818,0.028117359413202935,106.3305449330784,2.264479758958554,11.03991395793499,1.0,0.643023236305679,0.7144107191687175
5,3309,0.05469930492595951,792,0.04924242424242424,313.59107534747625,2.180221566453379,10.05340160936357,1.0,0.6512457433129389,0.6168488439404775
