method,test_size,n_clusters,weighted_auc,segments
nn,0.15,2,0.7758602652417433,"[(1.0, 0.8098651452282157), (2.0, 0.7553857012063883)]"
nn,0.15,3,0.7141126955514068,"[(1.0, 0.8098651452282157), (2.0, 0.7791227075752867), (3.0, 0.7313678030693171)]"
nn,0.15,4,0.7305866944569626,"[(1.0, 0.7444157475917911), (2.0, 0.6307885539536916), (3.0, 0.7791227075752867), (4.0, 0.7313678030693171)]"
nn,0.15,5,0.7280075082083306,"[(1.0, 0.7444157475917911), (2.0, 0.6307885539536916), (3.0, 0.7791227075752867), (4.0, 0.7199055364720146), (5.0, 0.7522749042145593)]"
nn,0.15,6,0.722058480332196,"[(1.0, 0.7444157475917911), (2.0, 0.6307885539536916), (3.0, 0.7791227075752867), (4.0, 0.7199055364720146), (5.0, 0.7839344262295083), (6.0, 0.7258367219268064)]"
logit,0.3,1,0.7481185626982474,"[(1, 0.7481185626982474)]"
logit,0.3,2,0.7422706452916611,"[(1.0, 0.7777547425341276), (2.0, 0.6965737850777465)]"
logit,0.3,3,0.7718192126029254,"[(1.0, 0.7777547425341276), (2.0, 0.7486814950699381), (3.0, 0.750168500719508)]"
logit,0.3,4,0.7433093395221242,"[(1.0, 0.8116789516789517), (2.0, 0.5178539580626258), (3.0, 0.7486814950699381), (4.0, 0.750168500719508)]"
logit,0.3,5,0.7408705385391025,"[(1.0, 0.8116789516789517), (2.0, 0.5178539580626258), (3.0, 0.7486814950699381), (4.0, 0.7382344736894539), (5.0, 0.7740857809764636)]"
logit,0.3,6,0.7454813866810364,"[(1.0, 0.8116789516789517), (2.0, 0.5178539580626258), (3.0, 0.7486814950699381), (4.0, 0.7382344736894539), (5.0, 0.7924050632911392), (6.0, 0.7899934645269043)]"
rf,0.3,1,0.7903684902371417,"[(1, 0.7903684902371417)]"
rf,0.3,2,0.7979276634048963,"[(1.0, 0.7877942922755331), (2.0, 0.7952295676981089)]"
rf,0.3,3,0.7931253291367126,"[(1.0, 0.7877942922755331), (2.0, 0.804120805625621), (3.0, 0.7685024341923902)]"
rf,0.3,4,0.7889812682938777,"[(1.0, 0.7959746109746111), (2.0, 0.7743381996993554), (3.0, 0.804120805625621), (4.0, 0.7685024341923902)]"
rf,0.3,5,0.7893721500332709,"[(1.0, 0.7959746109746111), (2.0, 0.7743381996993554), (3.0, 0.804120805625621), (4.0, 0.7616957899141246), (5.0, 0.8025189651818712)]"
rf,0.3,6,0.7870532670773477,"[(1.0, 0.7959746109746111), (2.0, 0.7743381996993554), (3.0, 0.804120805625621), (4.0, 0.7616957899141246), (5.0, 0.7425738396624473), (6.0, 0.7854367874518917)]"
gb,0.3,1,0.8004872754216013,"[(1, 0.8004872754216013)]"
gb,0.3,2,0.797369151572304,"[(1.0, 0.7887989832870449), (2.0, 0.793256034007937)]"
gb,0.3,3,0.7934147908425492,"[(1.0, 0.7887989832870449), (2.0, 0.8009272529236413), (3.0, 0.7720933790758377)]"
gb,0.3,4,0.7888688770365652,"[(1.0, 0.7960728910728911), (2.0, 0.7397322224770058), (3.0, 0.8009272529236413), (4.0, 0.7720933790758377)]"
gb,0.3,5,0.787539317804204,"[(1.0, 0.7960728910728911), (2.0, 0.7397322224770058), (3.0, 0.8009272529236413), (4.0, 0.755452722044007), (5.0, 0.791310056409259)]"
gb,0.3,6,0.7864671996129965,"[(1.0, 0.7960728910728911), (2.0, 0.7397322224770058), (3.0, 0.8009272529236413), (4.0, 0.755452722044007), (5.0, 0.7290506329113924), (6.0, 0.7937332074649626)]"
nn,0.3,1,0.7226364922293119,"[(1, 0.7226364922293119)]"
nn,0.3,2,0.7617515839385367,"[(1.0, 0.7781092672011932), (2.0, 0.7470168203708673)]"
nn,0.3,3,0.7330711466000432,"[(1.0, 0.7781092672011932), (2.0, 0.7521067415730336), (3.0, 0.727068404037686)]"
nn,0.3,4,0.7421417971987149,"[(1.0, 0.7730057330057329), (2.0, 0.7154195011337868), (3.0, 0.7521067415730336), (4.0, 0.727068404037686)]"
nn,0.3,5,0.762370437501786,"[(1.0, 0.7730057330057329), (2.0, 0.7154195011337868), (3.0, 0.7521067415730336), (4.0, 0.7443364083763375), (5.0, 0.7775821824547754)]"
nn,0.3,6,0.7603440779885613,"[(1.0, 0.7730057330057329), (2.0, 0.7154195011337868), (3.0, 0.7521067415730336), (4.0, 0.7443364083763375), (5.0, 0.7530801687763713), (6.0, 0.7917725655362718)]"
